UniqueKey,Date,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,Winner,HomeOdds,AwayOdds,DrawOdds
19/11/16SouthamptonLiverpool,19/11/16,Southampton,Liverpool,70.26,82.88,0.2692,0.485,0.2458,1.38,1.72,0,0,Draw,3.4,2.2,3.6
19/11/16StokeBournemouth,19/11/16,Stoke,Bournemouth,60.92,60.28,0.4648,0.2642,0.271,1.53,1.15,0,1,Bournemouth,2.3,3.4,3.4
19/11/16SunderlandHull,19/11/16,Sunderland,Hull,50.04,44.95,0.5026,0.2232,0.2742,1.52,0.95,3,0,Sunderland,2.15,3.8,3.4
19/11/16TottenhamWest Ham,19/11/16,Tottenham,West Ham,75.98,59.61,0.6484,0.1249,0.2267,1.87,0.73,3,2,Tottenham,1.5,7.5,4.5
19/11/16WatfordLeicester,19/11/16,Watford,Leicester,60.26,64.41,0.4124,0.3127,0.2749,1.44,1.28,2,1,Watford,2.8,2.75,3.3
20/11/16MiddlesbroughChelsea,20/11/16,Middlesbrough,Chelsea,55.64,85.9,0.1203,0.6708,0.209,0.84,1.86,0,1,Chelsea,7,1.57,4
21/11/16West BromBurnley,21/11/16,West Brom,Burnley,59.41,55.17,0.4969,0.2256,0.2775,1.47,0.94,4,0,West Brom,1.95,4.5,3.4
26/11/16BurnleyMan City,26/11/16,Burnley,Man City,53.12,87.72,0.0601,0.8024,0.1375,0.83,2.36,1,2,Man City,9,1.33,6
26/11/16ChelseaTottenham,26/11/16,Chelsea,Tottenham,86.29,75.06,0.645,0.1322,0.2228,1.84,0.84,2,1,Chelsea,1.75,5.25,3.8
26/11/16HullWest Brom,26/11/16,Hull,West Brom,44.06,61.42,0.3238,0.3867,0.2895,1.09,1.36,1,1,Draw,3.1,2.6,3.2
26/11/16LeicesterMiddlesbrough,26/11/16,Leicester,Middlesbrough,63.63,54.86,0.502,0.2108,0.2872,1.4,0.8,2,2,Draw,1.91,4.5,3.6
26/11/16LiverpoolSunderland,26/11/16,Liverpool,Sunderland,83.39,50.95,0.7999,0.0627,0.1374,2.77,0.58,2,0,Liverpool,1.17,19,8.5
26/11/16SwanseaCrystal Palace,26/11/16,Swansea,Crystal Palace,58.79,59.18,0.4556,0.279,0.2654,1.59,1.25,5,4,Swansea,2.63,2.88,3.4
27/11/16ArsenalBournemouth,27/11/16,Arsenal,Bournemouth,84.45,60.85,0.7524,0.0849,0.1627,2.54,0.66,3,1,Arsenal,1.4,9,5
27/11/16Man UnitedWest Ham,27/11/16,Man United,West Ham,80,60.37,0.6847,0.1145,0.2007,2.16,0.78,1,1,Draw,1.45,8,4.75
27/11/16SouthamptonEverton,27/11/16,Southampton,Everton,69.27,66.79,0.4661,0.251,0.283,1.45,0.98,1,0,Southampton,2.2,3.6,3.4
27/11/16WatfordStoke,27/11/16,Watford,Stoke,60.54,60.33,0.4609,0.2675,0.2716,1.52,1.16,0,1,Stoke,2.4,3.3,3.3
03/12/16Crystal PalaceSouthampton,03/12/16,Crystal Palace,Southampton,58.8,69.86,0.3352,0.3892,0.2756,1.29,1.46,3,0,Crystal Palace,3.5,2.3,3.3
03/12/16Man CityChelsea,03/12/16,Man City,Chelsea,87.48,86.11,0.4914,0.2601,0.2485,1.73,1.28,1,3,Chelsea,2.15,3.6,3.6
03/12/16StokeBurnley,03/12/16,Stoke,Burnley,61.21,53.56,0.5254,0.2018,0.2727,1.53,0.86,2,0,Stoke,1.62,6.5,4
03/12/16SunderlandLeicester,03/12/16,Sunderland,Leicester,50.61,63.73,0.3477,0.3703,0.282,1.25,1.36,2,1,Sunderland,3.4,2.3,3.4
03/12/16TottenhamSwansea,03/12/16,Tottenham,Swansea,75.27,59.23,0.6472,0.1337,0.2191,1.99,0.84,5,0,Tottenham,1.36,9,5.5
03/12/16West BromWatford,03/12/16,West Brom,Watford,61.63,59.6,0.4836,0.2466,0.2698,1.54,1.09,3,1,West Brom,2.2,3.75,3.3
03/12/16West HamArsenal,03/12/16,West Ham,Arsenal,61.16,84.21,0.1416,0.6674,0.191,1.21,2.2,1,5,Arsenal,4.75,1.75,4.2
04/12/16BournemouthLiverpool,04/12/16,Bournemouth,Liverpool,61.36,83.54,0.1533,0.6454,0.2013,1.2,2.1,4,3,Bournemouth,5,1.75,4
04/12/16EvertonMan United,04/12/16,Everton,Man United,66.16,79.41,0.279,0.4456,0.2754,1.15,1.46,1,1,Draw,3.6,2.15,3.5
05/12/16MiddlesbroughHull,05/12/16,Middlesbrough,Hull,54.82,43.86,0.5485,0.1734,0.2781,1.46,0.69,1,0,Middlesbrough,1.83,5.25,3.5
10/12/16ArsenalStoke,10/12/16,Arsenal,Stoke,85.46,61.56,0.7568,0.0798,0.1634,2.44,0.6,3,1,Arsenal,1.35,9.5,5.5
10/12/16BurnleyBournemouth,10/12/16,Burnley,Bournemouth,53.2,63.65,0.3523,0.3741,0.2736,1.33,1.44,3,2,Burnley,3.5,2.2,3.5
10/12/16HullCrystal Palace,10/12/16,Hull,Crystal Palace,43.14,60.65,0.3002,0.428,0.2718,1.22,1.53,3,3,Draw,3.5,2.3,3.3
10/12/16LeicesterMan City,10/12/16,Leicester,Man City,60.72,86.39,0.11,0.7096,0.1804,1.04,2.15,4,2,Leicester,5.25,1.7,4
10/12/16SwanseaSunderland,10/12/16,Swansea,Sunderland,56.34,51.65,0.4898,0.2521,0.2581,1.69,1.23,3,0,Swansea,2.15,3.6,3.5
10/12/16WatfordEverton,10/12/16,Watford,Everton,59.33,66.6,0.3809,0.3428,0.2763,1.37,1.35,3,2,Watford,3.1,2.45,3.4
11/12/16ChelseaWest Brom,11/12/16,Chelsea,West Brom,86.69,61.9,0.7776,0.0659,0.1565,2.43,0.51,1,0,Chelsea,1.25,15,6.25
11/12/16LiverpoolWest Ham,11/12/16,Liverpool,West Ham,82.14,59.9,0.7453,0.0959,0.1588,2.71,0.86,2,2,Draw,1.3,11,6
11/12/16Man UnitedTottenham,11/12/16,Man United,Tottenham,79.01,78.12,0.4656,0.255,0.2793,1.46,1.05,1,0,Man United,2.2,3.6,3.4
11/12/16SouthamptonMiddlesbrough,11/12/16,Southampton,Middlesbrough,68.24,55.54,0.5399,0.1785,0.2816,1.45,0.69,1,0,Southampton,1.7,6,3.7
13/12/16BournemouthLeicester,13/12/16,Bournemouth,Leicester,62.47,63.24,0.4549,0.2909,0.2542,1.71,1.4,1,0,Bournemouth,2.4,3.2,3.4
13/12/16EvertonArsenal,13/12/16,Everton,Arsenal,65.92,85.11,0.1743,0.6144,0.2112,1.24,2,2,1,Everton,4.2,1.91,3.75
14/12/16Crystal PalaceMan United,14/12/16,Crystal Palace,Man United,59.76,79.33,0.2144,0.5447,0.2409,1.18,1.88,1,2,Man United,5.25,1.7,4
14/12/16Man CityWatford,14/12/16,Man City,Watford,85.04,60.14,0.7818,0.0742,0.144,2.74,0.72,2,0,Man City,1.29,11,6.5
14/12/16MiddlesbroughLiverpool,14/12/16,Middlesbrough,Liverpool,55.14,81.74,0.1692,0.604,0.2268,1.02,1.82,0,3,Liverpool,6,1.6,4.33
14/12/16StokeSouthampton,14/12/16,Stoke,Southampton,62.19,68.57,0.3852,0.3158,0.2989,1.19,1.11,0,0,Draw,3.1,2.5,3.3
14/12/16SunderlandChelsea,14/12/16,Sunderland,Chelsea,49.97,86.3,0.0736,0.7687,0.1577,0.83,2.26,0,1,Chelsea,10,1.33,5.75
14/12/16TottenhamHull,14/12/16,Tottenham,Hull,77.63,43.95,0.7545,0.0671,0.1783,2.3,0.36,3,0,Tottenham,1.22,15,7
14/12/16West BromSwansea,14/12/16,West Brom,Swansea,62.24,58.06,0.4963,0.2414,0.2623,1.66,1.11,3,1,West Brom,2.05,4,3.5
